Column1,Column2
title,text
Modernizing China's governance,
VR- Video,"Newsletter

Vaccines vs viruses: Find out how the battle is progressing across Europe."
China leads green development with another practical step,"00:35

After pledging to strive to peak carbon dioxide emissions before 2030 and achieve carbon neutrality before 2060, China has taken another remarkable and practical step in pursuing green development. China will step up support for other developing countries in promoting green and low-carbon energy and will not build new coal-fired power projects abroad, announced President Xi Jinping at the general debate of the 76th session of the United Nations General Assembly (UNGA) via video on Tuesday. This is not surprising but of great significance, as China has previously cooperated with several countries along the routes of the Belt and Road Initiative (BRI) towards ""greening"" the initiative.

Global development initiative Phasing out coal investments would be promising to reduce carbon emissions, which pose a threat to the United Nations' (UN) Agenda 2030 for Sustainable Development, especially Goal 13 on climate action.



Besides decreasing coal-fired power projects, China has pledged an additional $3 billion of international assistance in the next three years to support developing countries in responding to COVID-19 and promoting economic and social recovery.



""Development holds the key to people's well-being,"" Xi said, adding that countries need to work together to steer global development towards a new stage of balanced, coordinated and inclusive growth.

A photovoltaic power generation station in a village in east China's Jiangxi Province. /CFP A photovoltaic power generation station in a village in east China's Jiangxi Province. /CFP

Beijing has highlighted its willingness to work with the international community, including the United States, to jointly advance global environmental governance.



For instance, through joint partnership, China has established the Belt and Road Initiative International Green Development Coalition, which serves as a platform for BRI cooperation on green development. Under the platform, China has provided more than 2,000 training opportunities for environmental protection officials, experts and technicians from over 120 participating countries.



Adhering to green development is engraved in the Chinese government through the Constitution and the master blueprint of national development as an ecological civilization to be observed in all socioeconomic developments and political agendas.

Beating COVID-19 remains a major task



Undoubtedly, though many countries are busy trying to rebuild their economies amid the pandemic, COVID-19 is still raging in the world, with the number of new cases rising every day globally.



Under such circumstances, President Xi called for putting people and their lives first, taking a science-based approach to origins tracing, enhancing the coordinated global COVID-19 response and minimizing the risk of cross-border virus transmission.



Noting that vaccination is a powerful weapon against COVID-19, he stressed the pressing priority is to ensure the fair and equitable distribution of vaccines globally.



China has promised to provide a total of two billion doses of the COVID-19 vaccine to the world by the end of this year and has donated 100 million doses of the vaccine to other developing countries in the course of this year in addition to $100 million to COVAX.

Practicing true multilateralism is critical



Whether it is improving global environmental governance or beating COVID-19, multilateralism is paramount, which is another key point of Xi's statement at the UNGA.



""The UN should hold high the banner of true multilateralism and serve as the central platform for countries to jointly safeguard universal security, share development achievements and chart the course for the future of the world,"" Xi said.



The Chinese president called on the UN to increase the representation and say of developing countries in international affairs and take the lead in advancing democracy and the rule of law in international relations.

China, a staunch supporter of multilateralism



President Xi also called for building a new type of international relations based on mutual respect, equity, justice and win-win cooperation, stressing that the practice of forming small circles or zero-sum games should be rejected. ""One country's success does not have to mean another country's failure, and the world is big enough to accommodate common development and progress of all countries,"" he said, adding that differences and problems among countries need to be handled through dialogue and cooperation on the basis of equality and mutual respect.

00:49"
"Chinese, Russian, Pakistani envoys meet Afghan officials in Kabul","China's special envoy for Afghan affairs, Yue Xiaoyong, along with envoys from Russia and Pakistan, visited Kabul from Tuesday to Wednesday and held talks with senior officials from the Afghan interim government, according to the Chinese Foreign Ministry.

The envoys met with the acting prime minister of Afghanistan's interim government, Mullah Muhammad Hassan Akhund, among other officials, Zhao Lijian, a spokesperson for the ministry, told a regular press briefing.

The officials discussed the recent development of the situation in Afghanistan, Zhao said. The meeting discussed inclusiveness, human rights, economics, humanism, and Afghanistan's relations with neighboring nations, he said.

During their visit, the envoys also met with ex-Afghan President Hamid Karzai and head of the Afghan National Reconciliation Council Abdullah Abdullah, Zhao said. They talked about promoting peace and stability in Afghanistan, he added.

Yue reiterated China's policy on not interfering in Afghanistan's internal affairs, the spokesperson said. During his time in Kabul, the Chinese envoy said China has been playing a constructive role in the political solution of Afghan issues."
"Macron, Modi vow coopertation amid submarine deal dispute","French President Emmanuel Macron discussed cooperation with Indian Prime Minister Narendra Modi as France deals with the fallout from Australia's cancellation of a $40 billion French submarine order. The two leaders held a phone conversation on Tuesday, said a statement from Macron's office, during which they also discussed issues such as the crisis in Afghanistan.

Last week, France recalled its ambassadors from the United States and Australia after Australia canceled its previous nuclear submarine deal with France.

Macron assured Modi of France's continued ""commitment to the strengthening of India's strategic autonomy, including its industry and technology base, as part of a close relationship based on trust and mutual respect,"" according to the statement.

On Saturday, France's foreign affairs minister agreed with his Indian counterpart to work on a program to promote multilateral international order.

The two ministers also agreed to meet in New York this week on the sidelines of the United Nations General Assembly.

Paris has, in the last years, sought to tighten ties with India. In 2016, the two sides signed a multibillion-dollar deal for 36 French Rafale fighter jets for New Delhi."
"Delta variant 'most dominant,' Finland corona pass: COVID-19 Bulletin","Artists in their inflated transparent plastic balls performing 'Tears' by Monster Chetwynd during a preview day of Art Basel, the world's premier modern and contemporary art fair in Basel, Switzerland. /Fabrice Coffrini/AFP

Artists in their inflated transparent plastic balls performing 'Tears' by Monster Chetwynd during a preview day of Art Basel, the world's premier modern and contemporary art fair in Basel, Switzerland. /Fabrice Coffrini/AFP

TOP HEADLINES

? Delta is the dominant strain of COVID-19 across the world, becoming ""more fit"" and ""more transmissible"" than all other viruses, the World Health Organization (WHO) reported. ""Less than 1 percent each of Alpha, Beta and Gamma are currently circulating. It's really predominantly Delta around the world,"" said Maria Van Kerkhove, WHO technical lead on COVID-19. Delta has been detected in 185 countries around the world.

? Finland has adopted its own version of a vaccine passport, with lawmakers on Tuesday approving plans for a national ""corona pass"" despite falling infection rates in the country. Finland is aiming to fully vaccinate 80 percent of the population, a target it hopes to reach by mid-October. ""The premise is that there will be no need for the corona pass,"" Health Minister Krista Kiuru told reporters. But the pass could be required in certain areas ""if a significant outbreak occurs,"" she added.

? The EU is finally set to recognize the UK's NHS vaccine pass, which will guarantee entry to visitors from Britain to all 27 member states and 16 non-EU countries. Sources in Brussels, according to the Guardian, suggest EU approval could come by the end of the month.

? Germany is in shock after a 20-year-old cashier at a petrol station in the western town of Idar-Oberstein was shot dead by a customer angry about being asked to wear a mask. The suspect, a 49-year-old German man, told police he felt ""cornered"" by the COVID-19 measures, which he perceived as an ""ever-growing infringement on his rights.""

? For the first time in 18 months, Milan's Fashion Week has welcomed a live audience around its world-famous catwalks. Out of 65 catwalk shows over the next five days, 43 will have a physical audience, as will 77 of the 98 presentations 每 but attendants will be required to show proof of vaccination or a negative test, and wear masks.

? A second shot of the Johnson & Johnson vaccine given two months after the first dose proved to be more effective than one dose alone, with antibody levels registering up to six times higher, according to new data released by the company on Tuesday. Global clinical trials found that two doses provided 75 percent protection against symptomatic COVID-19, while in the U.S. this number rose to 94 percent, possibly because of fewer variants present in the country when the data were collected.

? Amnesty International called for 2bn vaccine doses for poorer nations by the end of the year, as it accused vaccine manufacturers of putting profits before lives. In a new report, Amnesty said U.S. President Joe Biden was expected to outline a pledge at the UN General Assembly to fully vaccinate 70 percent of the world's population by next September.

? China's President Xi Jinping confirmed the country has pledged an additional $3 billion of international assistance in the next three years to support developing countries in responding to COVID-19 and ""promoting economic and social recovery.""

? Brazil's Health Minister Marcelo Queiroga has tested positive for COVID-19 on Tuesday after attending the UN General Assembly in New York. ""The other members of the delegation have been tested and are negative,"" said the official Brazilian government press release. The UN summit was opened by Brazil's President Jair Bolsonaro.

? U.S. President Joe Biden is likely to announce a new pledge to donate another 500 million COVID-19 vaccine doses to nations around the world at a virtual summit on Wednesday, Reuters reports."
Trudeau wins third consecutive mandate in Canadian election,"Canadian Prime Minister Justin Trudeau has held onto his job after his Liberal Party won its third consecutive term to form a government in Monday's national election.

But Trudeau will lead a minority government as he did since the last federal vote in 2019, instead of a majority government he secured when he became Canada's 23rd prime minister in 2015.

On Monday night, the Liberals won 158 of the 338 federal ridings 每 short of the 170 seats needed for a majority government.

Trudeau said he wanted a clear mandate to lead Canada through the COVID-19 pandemic when he called the national vote on August 15.

In the next two years, the Liberals will have to work with other progressive parties in the House of Commons to pass legislation.

The left-of-center New Democratic Party, which appeared to have added two seats to the 24 it won in 2019, was a cooperative partner with the Liberals in the last parliament.

The Bloc Quebecois, a nationalist party that promotes sovereignty in the French-speaking province of Quebec and which on Monday was poised to claim 31 seats, will remain resolute in stipulating that any collaboration with the governing Liberals must consider the interests of Quebecers.

With the Green Party maintaining its two House seats, Trudeau could have enough support from the three liberal-minded opposition parties to proceed with his Liberal government's agenda to lead Canada through to the end of the pandemic and tackle such issues as housing affordability, childcare and reviving an economy amid rising prices for goods and services.

""Millions of Canadians have chosen a progressive plan,"" said Trudeau at a post-midnight victory speech in Montreal early Tuesday morning.

Six years ago, the then prime minister-designate spoke of how the ""sunny ways"" of positive politics his Liberal Party embraced.

In 2021, with a less-than-ideal outcome for his Liberals at the polls, Trudeau promised Canadians ""brighter days ahead"" and concluded his televised address with the message: ""Let us seize the promise of a brand-new day.""

(With input from Xinhua)"
Xi Jinping extends greetings ahead of Farmers' Harvest Festival,Chinese President Xi Jinping has extended greetings to farmers and people working in agriculture and rural areas ahead of the fourth Chinese Farmers' Harvest Festival on Thursday.
Chinese foreign minister to join G20 meeting on Afghanistan,"Chinese State Councilor and Foreign Minister Wang Yi will on Wednesday take part in the G20 foreign ministers' meeting on Afghanistan at the invitation of Italian Foreign Minister Luigi Di Maio, China's Foreign Ministry announced on Wednesday.

Wang will expound on China's stance on the Afghan issue, including the country's humanitarian assistance to Afghanistan and the peace reconstruction process in the country, said Zhao Lijian, spokesperson for the ministry.

China considers the UN a primary channel for safeguarding the peace and stability of Afghanistan and providing humanitarian assistance to the country, Zhao said, adding that China hopes the G20 group can play a constructive role in this regard."
