,Summary,Text
0,Meet the content creators shaping China's Hanfu revival,"Traditional Chinese clothing is often associated with the qipao (also called the cheongsam) in the West. However, Hanfu – the traditional clothing for Han Chinese, an ethnic group that makes up more than 90 percent of the Chinese population – is valued in China as the authentic form of historical clothing and has been seeing a resurgence in recent years.

A Hanfu model walks the runway at a Hanfu fashion show during the 17th CICAF in Hangzhou, east China's Zhejiang Province. /CGTN A Hanfu model walks the runway at a Hanfu fashion show during the 17th CICAF in Hangzhou, east China's Zhejiang Province. /CGTN

According to data from consulting agency iiMedia Research, China's Hanfu market was worth 6.36 billion yuan in 2020. However, with the help of the government's vigorous promotion of traditional culture, capital inflow and increased recognition of ancient fashion, the Hanfu market is expected to exceed a staggering 10 billion yuan in 2021. Young people, especially Gen Zers are the biggest fan base for Hanfu. In 2019, over 50 percent of China's Hanfu wearers were between 19 and 24 years old, followed by those aged 16 to 18, who accounted for 23.16 percent. Meanwhile, Hanfu wearers over 50 years old have the smallest share with only 0.04 percent in 2019. Among all fans, 85 percent of Hanfu are women and only 15 percent are men.

A Hanfu model walks the runway at a Hanfu fashion show during the 17th CICAF in Hangzhou, east China's Zhejiang Province. /CGTN A Hanfu model walks the runway at a Hanfu fashion show during the 17th CICAF in Hangzhou, east China's Zhejiang Province. /CGTN A Hanfu model walks the runway at a Hanfu fashion show during the 17th CICAF in Hangzhou, east China's Zhejiang Province. /CGTN A Hanfu model walks the runway at a Hanfu fashion show during the 17th CICAF in Hangzhou, east China's Zhejiang Province. /CGTN A Hanfu model walks the runway at a Hanfu fashion show during the 17th CICAF in Hangzhou, east China's Zhejiang Province. /CGTN A Hanfu model walks the runway at a Hanfu fashion show during the 17th CICAF in Hangzhou, east China's Zhejiang Province. /CGTN A Hanfu model walks the runway at a Hanfu fashion show during the 17th CICAF in Hangzhou, east China's Zhejiang Province. /CGTN A Hanfu model walks the runway at a Hanfu fashion show during the 17th CICAF in Hangzhou, east China's Zhejiang Province. /CGTN A Hanfu model walks the runway at a Hanfu fashion show during the 17th CICAF in Hangzhou, east China's Zhejiang Province. /CGTN A Hanfu model walks the runway at a Hanfu fashion show during the 17th CICAF in Hangzhou, east China's Zhejiang Province. /CGTN

But things are changing this year. According to a report by iiMedia Research, the majority of Hanfu consumers are still predominantly women, who now account for 64.8 percent of the total. But the male fan base is growing, standing at 35.2 percent. Most of them (82.7 percent) hold a bachelor's degree and are getting slightly older as well, although young people are the mainstay. Consumers aged 26-40 account for more than 60 percent followed by those aged 26-30 (36.38 percent). Geographically speaking, 21.15 percent of consumers are located in eastern China, 17.1 percent in the north and 17.1 percent are in the southern part of the country. A little less than half (40.44 percent) live in first-tier cities. At the 17th China International Cartoon & Animation Festival (CICAF), one of the largest events on Asia's animation calendar, in Hangzhou, CGTN spoke with a group of Hanfu models and content creators aged 18 to 77. Liu Weixiu, or Hanfu Grandma, is 77 years old. She used to be a Peking Opera performers but is now focused on her Hanfu modeling career. A collection of pictures of her in Hanfu made her an internet celebrity. At the event, she was accompanied by 18-year-old Chen Jiawei who's been engaged in the industry for almost five years, and has 8 million followers on his social media platforms. During the past year, he's been walking the runway in Hanfu, along with Hanfu Grandma. Together, they portray a grandmother-grandson duo. He also helps the septuagenarian deal with fans, big stages and media.

04:24

Shenshang is the stage name of a content creator who was inspired by a verse written by famous poet Du Fu: We have been unable to see each other for so long We have been like morning and evening stars that never meet in the sky She thinks the current popularity of Hanfu culture stems from Chinese people's increasing cultural self-confidence.

Hanfu content creator Shenshang take an interview by CGTN in Hangzhou, East China's Zhejiang Province. /CGTN Hanfu content creator Shenshang take an interview by CGTN in Hangzhou, East China's Zhejiang Province. /CGTN

Shenshang spends most of her time in Hangzhou and Chengdu, making videos dressed in Hanfu and attending Hanfu catwalk events. She says these two cities are tolerant and people don't judge Hanfu wearers walking on the street.

Shenshang performs at a Hanfu event during the 17th CICAF in Hangzhou, East China's Zhejiang Province. /CGTN Shenshang performs at a Hanfu event during the 17th CICAF in Hangzhou, East China's Zhejiang Province. /CGTN

The increased acceptance of this fashion trend in big cities has been a boon for clothing manufacturers. According to data from iiMedia Research, most stores selling Hanfu outfits are located in Xi'an, Chengdu and Hangzhou. And there are currently more than 3,000 Hanfu companies in the country. According to a consumer survey released earlier this year, 47.5 percent of Hanfu consumers have between two to four sets of outfits. Social media, especially Chinese Twitter-like platform Weibo and Douyin, the Chinese sister app of TikTok, are the channels for nearly 60 percent of consumers to access Hanfu information and become promoters of Hanfu fashion, an important way to popularize the Hanfu culture.

Hanfu content creator Chen Cuo takes an interview by CGTN in Hangzhou, East China's Zhejiang Province. /CGTN Hanfu content creator Chen Cuo takes an interview by CGTN in Hangzhou, East China's Zhejiang Province. /CGTN

CGTN also spoke to content creator Chen Cuo, who has 1.9 million fans on Weibo. She developed her love for Hanfu when she was very young. As a kid, she liked the costumes in historical dramas and used to wrap herself in bed sheets and pretend she was in a palace. She started taking pictures of herself in Hanfu during high school after seeing other bloggers doing so, and became a promoter of Hanfu herself online.

Chen Cuo performs at a Hanfu event during the 17th CICAF in Hangzhou, East China's Zhejiang Province. /CGTN Chen Cuo performs at a Hanfu event during the 17th CICAF in Hangzhou, East China's Zhejiang Province. /CGTN

Statistics show that most Chinese netizens have a positive attitude towards Chinese national quintessence. 68.2 percent of online users believe that traditional Chinese culture should be inherited and promoted. At the same time, the Chinese public has a low level of understanding of Hanfu. The proportion of people who have general knowledge of Hanfu stands at 42.5 percent. Analysts believe that with the gradual popularization of Hanfu culture, widespread understanding of Hanfu will increase, driving the development of Hanfu culture and industry.

Full-time Hanfu model Qingyin told CGTN that she's optimistic about the future of Hanfu. She said Chinese people are increasingly freeing their minds and thinking outside the box. So they are more inclined to accepting traditional arts. In fact, she thinks beautiful things are accepted by everyone.

Hanfu content creator Qingyin takes an interview by CGTN in Hangzhou, East China's Zhejiang Province. /CGTN Hanfu content creator Qingyin takes an interview by CGTN in Hangzhou, East China's Zhejiang Province. /CGTN

She also said China's Gen Z is learning about Chinese culture and history through Hanfu. She herself started to learn about interesting history bits from different dynasties because of Hanfu. For example, many people might have stereotypes about some dynasties, but through research she has learned very novel and interesting stories."
1,SAFS director Su Da: We neither repeat ourselves nor imitate others,"04:46

""Animation is a language that brings us closer to the world,"" Su Da, director of the Shanghai Animation Film Studio (SAFS) – the largest animated film producer and one of the oldest animation studios in China, said in an interview with CGTN during the ongoing 17th China International Cartoon & Animation Festival (CICAF). ""The key lies in how we integrate the beauty and essence of our traditional Chinese culture, among other strengths, into the work,"" said the veteran director. Born in Nanjing, east China's Jiangsu Province in 1972, Su began working at the Shanghai studio in the mid-1990s. At the time, she helped with the remake of a number of animation masterpieces such as ""The Monkey King: Uproar in Heaven."" She also created her own signature animated series ""Dear Tutu,"" which became one of the most popular cartoon characters among children since it was first aired in 2004.

Posters for the critically acclaimed animations ""Three Monks"" and ""Feelings of Mountains and Waters"" by the Shanghai Animation Film Studio. /SAFS Posters for the critically acclaimed animations ""Three Monks"" and ""Feelings of Mountains and Waters"" by the Shanghai Animation Film Studio. /SAFS

Established in 1957, the studio has been led by pioneering animators and artists including Wan Brothers, the founders of the Chinese animation industry and creators of the first Asian animation feature-length film ""Princess Iron Fan"" (1941), as well as Te Wei, who was well-known for such critically acclaimed works as ""Where is Mama"" and ""Feelings of Mountains and Waters,"" featuring ink-wash animation style.

Noting that some of SAFS's classic works in Chinese-style ink-and-wash animation wowed foreign audiences as early as the 1960s, Su said the current team hopes to build on this tremendous legacy. ""Many expressions of Eastern aesthetics are appreciated by overseas audiences,"" she said, adding, ""Fundamentally, in order to gain recognition, we must create work of unparalleled quality and immaculate taste. Our stories should include everyday emotions that resonate and can be shared universally with viewers, and characters must be compelling.""

Using technological innovation to revive classic IPs

According to Su, one thing her studio has been focusing on is to ""concurrently revive past intellectual property while creating new material."" ""Our classics are all cherished household names among viewers who support their revival,"" she said. ""This is another mission for us.""

Su Da, director of the Shanghai Animation Film Studio, speaks during an interview with CGTN. /CGTN Su Da, director of the Shanghai Animation Film Studio, speaks during an interview with CGTN. /CGTN

Two of SAFS's greatest strengths have been traditional two-dimensional animation and ink-and-wash animation, and the studio has produced a series of popular characters and masterpieces such as ""The Deer of Nine Colors,"" ""Calabash Brothers"" and ""Detective Black Cat,"" which have influenced and are still engaging generations of Chinese viewers. However, with the introduction of new technologies, three-dimensional (3D) animation movies have been enjoying increasing popularity. The desire to create high-quality Chinese films that adhere to advanced production standards has led to the new SAFS production of ""Monkey King: Flaming Mountains,"" whose release, as many insiders believed and Su expected, would be ""supremely eye-catching.""

Posters for Su Da's animated works ""The Monkey King: Uproar in Heaven"" (3D) and ""Dear Tutu: The T-Rex In Operation"" /SAFS Posters for Su Da's animated works ""The Monkey King: Uproar in Heaven"" (3D) and ""Dear Tutu: The T-Rex In Operation"" /SAFS"
2,Domestic tourism booms during National Day holiday,"Domestic tourism is booming in China during the ongoing National Day holiday between October 1 and 7, known colloquially as ""Golden Week.""

A total of 10.5 million passengers are expected to travel by train, and an additional 640 passenger trains will be added to meet the demand on Sunday, the third day of the weeklong National Day holidays, according to China Railway, the country's railway operator. China's railways handled 11.732 million passengers on October 2, running an additional 917 trains.



In east China's Jiangsu and Zhejiang provinces, tourists were amazed by performances that featured ancient folk customs. ""I've taken my child here to feel our National Day holiday atmosphere and the charm of ancient Chinese culture,"" said Yang Rui, a tourist.



Some tourists chose to immerse themselves in nature at a time when northern and central China ushers in the year's golden autumn foliage.



Others went paragliding or on hot air balloon rides to survey the magnificent nepheline landforms near Zhangye City in northwest China's Gansu Province.



In Qingzhou County of east China's Shandong Province, elderly tourists enjoyed oceans of flowers at greenhouses that boast 100-plus varieties.



In Shanghai, residents gushed praise for a recently rejuvenated river bank. ""The bank makes it more convenient for us to do physical exercise and have family activities, which has historical significance. The changes are great,"" said Ji Shanshan, a Shanghai resident.



The Ministry of Culture and Tourism and the National Health Commission have reminded tourists to wear masks, wash their hands and maintain social distancing whenever possible."
3,Shops in Syria's Khan al-Harir reopen after restoration,"An event is held in Khan al-Harir in Aleppo, Syria, October 2, 2021. /CGTN An event is held in Khan al-Harir in Aleppo, Syria, October 2, 2021. /CGTN

Following 18 months of restoration, 60 shops in Khan al-Harir, the oldest site in Syria's ancient city of Aleppo, have reopened their doors to shoppers and visitors. Before the conflict in Syria erupted, Khan al-Harir was a vital destination for selling locally made textiles, silk and other kinds of fabrics, which Aleppo was famous for.

Al-Majidiya Souk in Khan al-Harir, Aleppo, Syria. /CGTN Al-Majidiya Souk in Khan al-Harir, Aleppo, Syria. /CGTN

Jamal Satout, owner of a shop in Souk al-Majidiya in Khan al-Harir told CGTN he was delighted with the reopening of the Khan, and considered its conditions nowadays better than before. ""It has a natural look, and we also have a higher rate of work,"" he said. ""The electricity supply is quite good, services as well. They restored the stony walls better than before. They covered the paths with stony tiles, too.""

A young man weaves using a handloom in Khan al-Harir, Aleppo, Syria. /CGTN A young man weaves using a handloom in Khan al-Harir, Aleppo, Syria. /CGTN

Mohamad Hamemi is a textile merchant and trader in Khan al-Harir. He remains nostalgic about the old days when the neighboring merchants used to meet and gossip. ""The most memories that relate to markets are when we, the neighbors, used to sit together for a morning coffee and chat about our daily agenda, complain about our concerns,"" he continued. ""We had a simple happy lifestyle."" Hamemi and other merchants hope to regain the losses caused by the destruction. ""Though the markets have reopened to shoppers, more efforts are needed,"" Hamemi said. ""We have to cope and produce as soon as possible to offer our goods and sell them."" He hopes that the small steps they are making will attract more consumers.

Gate of Khan al-Harir in the ancient city of Aleppo, Syria. /CGTN Gate of Khan al-Harir in the ancient city of Aleppo, Syria. /CGTN"
4,others,
5,NULL,NULL
6,Interview with 'Balloon' cast: Human experiences in Tibetan context,"05:51

In a Tibetan family struggling to make ends meet, the mother of three finds herself pregnant with a fourth child. What should she do? The dilemma of keeping the baby and risking deeper poverty or aborting at the expense of sinning summarizes the tension between traditional beliefs and modern ideas. This is the premise of ""Balloon,"" the seventh feature of Tibetan filmmaker and author Pema Tseden, which hit cinemas across China on November 20. Set in the late 1990s in the austere but appealing highlands of northwest China's Qinghai Province, the Tibetan picture depicts a bittersweet story centered on three generations of a rural family, whose peaceful yet tough life is repeatedly disturbed by unexpected problems after the children steal the only condoms in the house to blow them up like balloons.

""I was once on the street in Zhongguancun (Beijing's tech hub) and I saw a red balloon floating in the air. I was attracted by the visuals, which were particularly suitable for a film,"" Tseden told CGTN in an interview.

Tibetan filmmaker and author Pema Tseden speaks to CGTN. /CGTN Tibetan filmmaker and author Pema Tseden speaks to CGTN. /CGTN

The chance encounter triggered a lightbulb moment for the 51-year-old filmmaker. ""At that moment, I related this image to real Tibetan life, and I thought about a white balloon, which is a key element in this film: the condom,"" he said.

The contraceptive, which the children in the movie discover under their parents' pillow, prompts a series of embarrassing events, lands the family in an uneasy dilemma, and stirs up trouble between wife Drolkar and husband Dargye. Qinghai-born Tseden again turned his lens towards a familiar place – his birthplace – to depict the picturesque views of Qinghai Lake and the daily life of Tibetan shepherds. In his family drama, the filmmaker delves into the religious and traditional culture in which the ethnic group is rooted and explores the conflict between real-life concerns and spiritual ideals.

A still from the film ""Balloon"" of Sonam Wangmo (L) and Jinpa. /Courtesy of Tang Dynasty Cultural Communication A still from the film ""Balloon"" of Sonam Wangmo (L) and Jinpa. /Courtesy of Tang Dynasty Cultural Communication Director Pema Tseden (R) talks to Jinpa on the filming location. /Courtesy of Tang Dynasty Cultural Communication Director Pema Tseden (R) talks to Jinpa on the filming location. /Courtesy of Tang Dynasty Cultural Communication A still from the film ""Balloon"" of Sonam Wangmo. /Courtesy of Tang Dynasty Cultural Communication A still from the film ""Balloon"" of Sonam Wangmo. /Courtesy of Tang Dynasty Cultural Communication A still from the film ""Balloon."" /Courtesy of Tang Dynasty Cultural Communication A still from the film ""Balloon."" /Courtesy of Tang Dynasty Cultural Communication A still from the film ""Balloon"" of Jinpa. /Courtesy of Tang Dynasty Cultural Communication A still from the film ""Balloon"" of Jinpa. /Courtesy of Tang Dynasty Cultural Communication

The lead roles are played by rising Tibetan actors Sonam Wangmo and Jinpa, who collaborated with Tseden on his last title ""Jinpa,"" which bagged the Best Screenplay Award at the 2019 Venice International Film Festival's Horizon section.

Speaking about their third cooperation, Jinpa said there was a tacit understanding with the director and sometimes their rapport did not need words. ""The director didn't say much [on site], but I would just look at him and know what kind of feelings he wants, and then go with it,"" the actor told CGTN. ""Tseden is a very talented director. Many scenes in 'Balloon' were ideas that he came up with before filming or even on location,"" Sonam Wangmo said of her second team-up with the director.

Tibetan actress Sonam Wangmo speaks to CGTN. /CGTN Tibetan actress Sonam Wangmo speaks to CGTN. /CGTN

For her powerful performance as a stressed wife and mother in ""Balloon,"" Wangmo won the best actress award at Hainan Island International Film Festival last year and the film pocketed the best feature.

Human elements lead to global acceptance

""Balloon"" made its global premiere in September at last year's Venice International Film Festival before crossing the Atlantic to take part in Toronto International Film Festival. In both events, it enjoyed great popularity and warm reception. ""What impressed me the most was our global premiere in Venice, during one of their largest screening rooms with 3,000 or 4,000 viewers,"" Tseden recalled. ""Many, especially women, said they could relate on a deep level with the film. They stood up to share their feelings, one after another. Many were touched and cried for Drolkar's dilemma about abortion.""

Tibetan actor Jinpa speaks to CGTN. /CGTN Tibetan actor Jinpa speaks to CGTN. /CGTN

""The film is for Tibetan people, but I hope it could be viewed by a wider audience beyond the ethnic group, who could receive it and accept it,"" he said, adding, ""Our hope since the beginning was to create a work that transcends regions and nations.""

""The work I filmed doesn't belong to me,"" Jinpa told CGTN. ""A good work belongs to mankind."" Tseden was the first ethnic Tibetan student to be admitted to the prestigious Beijing Film Academy and the first director to film a movie completely in the Tibetan language in China. Five years after ""Tharlo"" caught international attention, the director is now not only a pioneering filmmaker at home but also a leading voice of Tibetan cinema internationally.

Posters for ""Balloon"". Posters for ""Balloon"".

The award-winning filmmaker expressed belief that the rise of Tibetan cinema in recent years has a lot more to do than ethnic exoticism, which originates from a questionable but common belief that ""ethnic uniqueness is a ticket to global acceptance"" in movies."
7,Interview with production team of 'Day Is Done': The power of emotion,"04:28

""A family visit turns into a slow-paced loving farewell between a grandfather and his grandson … Zhang Dalei's rich cinematic language builds a sensitive family portrait that transcends the duration of the short form,"" said the jury statement in its citation for Chinese short film ""Day Is Done,"" which won the Silver Bear Jury Prize at the 71st Berlin International Film Festival in March.



As one of the world's largest film festivals and also one of the European highlights of the cinema industry calendar, the event, also called Berlinale, was held online this year for the first time due to the coronavirus pandemic. The in-person awards ceremony has been tentatively scheduled for June.



The low-key 2021 Berlinale still offered audiences some impressive productions, of which ""Day Is Done"" is one.

A still from ""Day Is Done."" /FIRST International Film Festival A still from ""Day Is Done."" /FIRST International Film Festival

Shared emotion between the East and the West

The story of ""Day Is Done"" happened on a normal afternoon, and it's relatively simple: A boy is about to leave home to study abroad. Before leaving, he visits his grandfather who recalls things from the past. But the film doesn't overplay the sadness of this farewell between loved ones.



""The way of showing emotions (in the Orient) is very restrained. It's cumulative and then explosive,"" the director of ""Day Is Done"" Zhang Dalei told CGTN in an interview. ""Unlike in the West, where people communicate directly, emotions for Oriental people are retained for a long time.""

Zhang Dalei, the director of ""Day Is Done,"" is interviewed by CGTN. /CGTN Zhang Dalei, the director of ""Day Is Done,"" is interviewed by CGTN. /CGTN

Quoting from Krzysztof Kieslowski, a director Zhang likes, ""Our race is different, and everyone experiences life differently, the difficulties we meet and our emotional expressions are all the same,"" Zhang talked about how his film resonated with audiences from different countries.



""There are cultural differences,"" Zhang said. ""The differences may be modal and historical, but our emotions are all the same. I think this is one of the reasons why my film was well received by the judges.""



""Deep connections can be made, mainly because we focus on emotions,"" Gao Yitian, the producer of ""Day Is Done"" and director of operations of FIRST International Film Festival, told CGTN during the interview. ""When it comes to emotions, regardless of the country or language barriers, you feel the flow of emotions among people.""

Gao Yitian, the producer of ""Day Is Done"" and director of operations of FIRST International Film Festival. /CGTN Gao Yitian, the producer of ""Day Is Done"" and director of operations of FIRST International Film Festival. /CGTN

Focus on the new generation of Chinese filmmakers

""Prior to 'Day Is Done' and for many years now, we've had different works shortlisted for the Berlin Film Festival. Different Chinese works of all kinds are selected for international film festivals every year,"" Gao said.

Director Zhang Dalei talks with actor Li Xuejian at the filming site. /FIRST International Film Festival Director Zhang Dalei talks with actor Li Xuejian at the filming site. /FIRST International Film Festival

FIRST International Film Festival is about to usher in its 15th year, the young festival has been labeled as arthouse, avant-garde and independent. No one would deny that the festival brings groundbreaking but largely unknown films, including the award-winning ""The Coffin in the Mountain"" and documentary ""Four Springs.""



FIRST International Film Festival focuses more on the new generation of Chinese creators and their productions, most of which involve directorial debuts, according to Gao.

Gao Yitian speaks to CGTN. /CGTN Gao Yitian speaks to CGTN. /CGTN

""We hope that internationally, more people can see the most current and unique talents of every new generation of creators in China, as well as their stories, images, and the expressions of their lives that are born in China,"" he said.



Zhang and Gao both expressed confidence in the future of China's film market and environment. ""Although there are dark times and heavy losses, the recovery is relatively fast,"" said Gao. ""This is a very good era."""
8,Guan Hu: I'm learning to slow down and find peace in my lows,"04:27

Check any year-end list of 2020's biggest films and you won't miss ""The Eight Hundred."" The Guan Hu-directed war epic was one of the first releases in China after a months-long cinema shutdown because of COVID-19. It scored big on home turf and beyond, raking in a remarkable $468 million to be crowed the No. 1 grossing film of 2020 worldwide. It is the first Chinese-language film to top the global box office, a milestone in an unprecedented era. But for Guan, the hit movie is the realization of a teenage dream to film a war picture after the young man read stories about the Battle of Shanghai in a history book. ""For me, cinema has different functions, like painting and music,"" the 52-year-old veteran filmmaker told CGTN. ""It is a way of life, to ease depression, conquer fear, or fulfill a long-cherished wish, like in the case of 'The Eight Hundred.'"" The $85 million production, based on true events, tells the story of Chinese soldiers defending a warehouse against the invading Japanese army during the Battle of Shanghai in 1937. The title achieved critical and commercial success upon its release on August 21, one month after Chinese cinemas reopened at half-capacity after a six-month lull in operations.

A still from the filming set of ""The Eight Hundred"" shows a replica of the Shanghai warehouse. /Photo via Douban A still from the filming set of ""The Eight Hundred"" shows a replica of the Shanghai warehouse. /Photo via Douban

The first major blockbuster of the pandemic era, ""The Eight Hundred"" boosted the recovery of Chinese cinemas, and was credited with the revival of the domestic movie market, which is this year's biggest global box office. Theaters in the country have been operating at a healthy 75% capacity since September. The film's triumph represents a big win for its producers, distributors and Guan himself, who took a risk by releasing the film as the first tentpole to hit cinemas amid the pandemic. The enterprising filmmaker was also among the first to resume work on other movies.

'Relying on creative instinct'

Just two months after the release of ""The Eight Hundred,"" Guan brought to the big screen another war picture, ""The Sacrifice,"" also known as ""Jin Gang Chuan,"" in cooperation with two rising directors Frank Guo (""The Wandering Earth,"" 2019) and Lu Yang (""Brotherhood of Blades,"" 2014).

Director Guan Hu speaks to CGTN /CGTN Director Guan Hu speaks to CGTN /CGTN

The filming of the special effects-driven war picture spotlighting the Chinese People's Volunteers Army began in early August with the three directors working on different parts simultaneously. The movie was released in theaters on October 23 and went on to amass over $171 million, ranking 10th among this year's biggest movies. Noting that the creation course of the film didn't follow the usual rules of production time and techniques, Guan said it was an opportunity to strengthen his will and skills to make ""this miracle."" ""This is an interesting process, during which you are completely relying on your creative instinct,"" he said, adding ""Facing uncertainties and challenges, [you had to] be meticulous about everything.""

Moviemaking needs passion

For the veteran director, working with two other big names on one movie was also a chance to get more inspiration from young talents. ""We are all directors, with different emotions and personalities. So, we could be friends in daily life, but the kind of connection and communication [we had] at work is very rare,"" said Guan of his cooperation with Guo and Lu.

(L-R) Directors of ""The Sacrifice,"" Guan Hu, Frank Guo, and Lu Yang. /CGTN (L-R) Directors of ""The Sacrifice,"" Guan Hu, Frank Guo, and Lu Yang. /CGTN

A member of the China Film Director's Guild (CFDG), Guan has been showing support for young filmmakers. He's been on projects by up-and-coming directors, such as ""Reunion Day"" by Gao Linyang, and just last month announced that he will lead the 6th CFDG Young Director Support Program to blaze a trail for young talent. ""Movies belong to young people. Making movies needs passion,"" Guan told CGTN. He expressed the belief that the young generation can be a strong engine in the reboot and recovery of the film industry. ""[Many] have said that the Chinese movie industry has been hit by the COVID-19 pandemic and that we need fresh blood. Haven't they? They refer to this kind of passion,"" he said.

Enjoying peace in highs and lows

Being busy for many years, the filmmaker revealed that he had some restless moments at the beginning of the pandemic when life's pace slowed down. It was an occasion for him to focus on a few small projects that he's been eager to do but had put off for a long time.

Posters for ""The Eight Hundred"" and ""The Sacrifice"" /Photo via Douban Posters for ""The Eight Hundred"" and ""The Sacrifice"" /Photo via Douban"
9,My Vlog: Finding beauty hacks in Peking Opera makeup,"Which setting powder is better for the skin? How to do a perfect lip makeup? It turns out that Peking Opera, the hundred-year-old Chinese art form, has much to offer. Follow CGTN reporter Saina into the China National Peking Opera Company and unlock the beauty hacks that Peking Opera conceals and makeup skills that reflect oriental beauty!"
